country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,event_id,termination_date,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status,openfda.pharm_class_cs,openfda.pharm_class_moa,openfda.pharm_class_pe,openfda.original_packager_product_ndc,application_number,brand_name,generic_name,manufacturer_name,product_ndc,route,substance_name,rxcui,spl_id,spl_set_id,package_ndc,is_original_packager,upc,nui,pharm_class_epc,unii
United States,Pine Brook,10 Bloomfield Ave Bldg B Ste 2,Failed dissolution specifications,,4272 bottles,"Lot # 472990, Exp 03/2020",20190812,"Natonwide, PR",NJ,"Macrobid Urinary Tract Anitbacterial, 100 mg,  100-count bottle, Rx Only, Mfg. by: Norwich Pharmaceuticals, Inc. Norwich, NY 13815 USA Dist. by: Almatica Pharma, Inc. Pine Brook, NJ 07058 USA, NDC 52427-285-01",20190821,Class II,"Alvogen, Inc",D-1723-2019,Letter,83434,,,20190724,07058-9743,Voluntary: Firm initiated,Ongoing,['Nitrofurans [CS]'],,,,'NDA020064','MACROBID','NITROFURANTOIN MONOHYDRATE/MACROCRYSTALLINE','Almatica Pharma Inc.','52427-285','ORAL',"'NITROFURANTOIN', 'NITROFURANTOIN MONOHYDRATE'","'539712', '1648755'",'0ccd1a07-3321-8416-53f4-3552e68e402d','8f270a9f-12a1-44d4-bc7e-873613555801','52427-285-01',True,nan,"'N0000175494', 'M0014892'",'Nitrofuran Antibacterial EPC',"'927AH8112L', 'E1QI2CQQ1I'"
United States,Lake Forest,275 N Field Dr,Lack of Assurance of Sterility: Potential of punctures through the overwrap and primary container which may result in IV bag leaks.,,"836,460 bags",Lot # 34-017-JT; Exp. 10/15  Lot # 35-100-JT; Exp. 11/15,20141125,"Nationwide, Puerto Rico, and U.S. Virgin Islands.",IL,"Potassium Chloride in 5% Dextrose and 0.45% Sodium Chloride Injection, USP, 1000 mL container, Rx Only, Manufactured by Hospira, Inc., Lake Forest, IL 60045 NDC 0409-7902-09.",20141203,Class II,Hospira Inc.,D-0278-2015,Letter,69494,20151228,,20141014,60045-2579,Voluntary: Firm Initiated,Terminated,,,,,'NDA018365','POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE',"'DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE'","'Hospira, Inc.'","'0409-7901', '0409-7107', '0409-7109', '0409-7903', '0409-7904', '0409-7991', '0409-7992', '0409-7993', '0409-7998', '0409-7902', '0409-7997'",'INTRAVENOUS',"'DEXTROSE MONOHYDRATE', 'SODIUM CHLORIDE', 'POTASSIUM CHLORIDE'","'615099', '615100', '615107', '615111', '630796', '664704', '686185', '686534', '1863605', '1863607', '1863973', '1863975', '1863987'",'8175a5f1-5626-4f91-a0b2-024e916b8b45','d101c62c-9fd8-4bb6-e7a5-5074d189d35b',"'0409-7107-09', '0409-7109-09', '0409-7903-09', '0409-7904-09', '0409-7991-09', '0409-7992-09', '0409-7993-09', '0409-7901-03', '0409-7901-09', '0409-7998-03', '0409-7998-09', '0409-7902-03', '0409-7902-09', '0409-7997-09'",True,nan,nan,nan,"'660YQ98I10', 'LX22YL083G', '451W47IQ8X'"
United States,Warren,184 Liberty Corner Rd,Defective Delivery System: the dosing cups are missing graduations applicable to certain age groups.,,"132,336 bottles","Lot #s: 02177, 02178, Exp. 01/31/2022",20200626,Nationwide in the US,NJ,"Childrens Robitussin Honey Cough and Chest Congestion DM, dextromethorphan (cough suppressant), guaifenesin (expectorant), 4 FL OZ. bottle (118 mL), Distributed by: Pfizer, Madison, NJ 07940 USA, UPC: 50300318760128, NDC: 0031-8760-12.",20200708,Class II,Glaxosmithkline Consumer Healthcare Holdings,D-1361-2020,Press Release,85848,,,20200616,07059-6796,Voluntary: Firm initiated,Ongoing,,,,,'part341','CHILDRENS ROBITUSSIN HONEY COUGH AND CHEST CONGESTION DM',"'DEXTROMETHORPHAN HBR, GUAIFENESIN'",'GlaxoSmithKline Consumer Healthcare Holdings (US) LLC','0031-8760','ORAL',"'DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN'",'1790650','2d18c0fa-d53d-46a0-91b8-0b3b31fe2359','b87f700e-3414-463c-80d4-c3dbca89a488',"'0031-8760-12', '5030031876'",True,nan,nan,nan,"'9D2RTI9KYH', '495W7451VQ'"
United States,Lake Forest,1925 W Field Ct Ste 300,"Unit Dose Mispackaging: Customer complaint that a carton labeled as Myorisan 20 mg Capsules, USP erroneously contained one 10-count blister card of the 40 mg product in addition to two 10-count blister cards of the 20 mg product.",,"4,206 boxes","Lot V20M54A, Exp 01/2021",20200106,Nationwide in the USA and Puerto Rico,IL,"MYORISAN (isotretinoin capsules, USP), 20mg, packaged in 30-count Capsules (3 x 10 Prescription Packs) per box, Rx only, Distributed by:  VersaPharm Inc. - An Akorn Company, Lake Forset, IL 60045; NDC 61748-302-13.",20200108,Class II,"Akorn, Inc.",D-0647-2020,Letter,84261,,,20191115,60045-4862,Voluntary: Firm initiated,Ongoing,['Retinoids [CS]'],,,,'ANDA076485','MYORISAN','ISOTRETINOIN','Versapharm Incorporated',"'61748-301', '61748-302', '61748-303', '61748-304'",'ORAL','ISOTRETINOIN',"'197843', '197844', '197845', '403930', '1242611', '1242613', '1242615', '1663728'",'703dd363-236a-4a17-85e9-feb1b3ae540b','51ff6346-9256-4c01-9f52-417d13f2df05',"'61748-301-13', '61748-301-11', '61748-301-01', '61748-302-13', '61748-302-11', '61748-302-01', '61748-303-13', '61748-303-11', '61748-303-01', '61748-304-13', '61748-304-11', '61748-304-01'",True,nan,"'N0000175607', 'M0018962'",'Retinoid EPC','EH28UP18IF'
United States,Parsippany,400 Interpace Pkwy,CGMP deviations: Product bottle may be absent of desiccant.,,,"Lot #: 1332796 A, Exp 11/2020",20200210,USA Nationwide,NJ,"Methylphenidate hydrochloride Extended-Release ablets USP (CII), 18 mg, 100-count bottle, Rx only, Teva Pharmaceuticals USA, Inc., North Wales, PA 19454, NDC 62037-725-01",20200219,Class II,Teva Pharmaceuticals USA,D-0836-2020,Letter,84797,20201103,,20200127,07054-1120,Voluntary: Firm initiated,Terminated,,,,,'ANDA076772','METHYLPHENIDATE HYDROCHLORIDE','METHYLPHENIDATE HYDROCHLORIDE',"'Actavis Pharma, Inc.'","'62037-725', '62037-734', '62037-726', '62037-727'",'ORAL','METHYLPHENIDATE HYDROCHLORIDE',"'1091155', '1091170', '1091185', '1091210'",'719405ab-149f-4905-80c2-a9df737c7b94','85ef422d-af27-4126-9841-6892af1871d6',"'62037-725-01', '62037-734-01', '62037-726-01', '62037-727-01'",True,"'0362037734014', '0362037726019', '0362037725012', '0362037727016'",nan,nan,'4B3SC438HI'
United States,Parsippany,400 Interpace Pkwy,GMP Deviations: Product bottle may be absent of desiccant.,,"22,868 bottles","Lot #: 1281203M, exp. date 03/2020 and 1290113M, exp. date 04/2020",20200206,Nationwide within the United States,NJ,"Desmopressin Acetate Tablets, 0.1 mg, 100-count bottle, Rx Only, Manufactured by: Actavis Laboratories, Inc. Fort Lauderdale, FL 33314 USA, Distributed by: Actavis Pharma, Inc. Parisppany, NJ 07054 USA, NDC 0591-2464-01",20200212,Class II,Teva Pharmaceuticals USA,D-0830-2020,Letter,84798,20201210,,20200127,07054-1120,Voluntary: Firm initiated,Terminated,,,,,'ANDA076470','DESMOPRESSIN ACETATE','DESMOPRESSIN ACETATE',"'Actavis Pharma, Inc.'","'0591-2464', '0591-2465'",'ORAL','DESMOPRESSIN ACETATE',"'833008', '849515'",'76f9b450-b959-4911-88f3-0f8c483bcaec','43bd65ca-0b1c-42c9-bbcd-7a97d3287581',"'0591-2464-01', '0591-2465-01'",True,'0305912465016',nan,nan,'XB13HYU18U'
United States,Schaumburg,301 E Central Rd,Microbial Contamination of Non-sterile Products: contamination with Burkholderia lata.,,"a) 116,662 bottles; b) 13,296 bottles","Lot #: a) C170FY, C170FZ, C170GA, C170GB, C170GC, C177GP, C177GQ, C177GR, Exp 6/30/2022; C191KS, C191KT, C191KU, C191KW, C191KX, C191KY, C198LJ, C198LK, C198LL, C198LM, C205BH, C205BJ, C205BK, C205BL, C205BM, C205BN, Exp 7/31/2022; C219DK, C219DL, C219DM, C219DN, C219DP, C219DQ, C219DR, C219DS, Exp 8/31/2022; C240GM, C240GP, C240GQ, C240GR, Exp 9/30/2022; b) C191KR, Exp 7/31/2020",20201123,USA Nationwide,IL,"Paroex (chlorhexidine gluconate) Oral Rinse, USP 0.12%, Alcohol Free, Rx only, packaged in: a) 1 pint  (473 mL) NDC 52376-021-02; b) 4 fl oz (118 mL) NDC 52376-021-04, Sunstar Americas, Inc.",20201202,Class I,"Sunstar Americas, Inc.",D-0103-2021,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",86656,,,20201027,60195-1901,Voluntary: Firm initiated,Ongoing,,,,,'ANDA076434','PAROEX','CHLORHEXIDINE GLUCONATE',"'Sunstar Americas, Inc.'",'52376-021','ORAL','CHLORHEXIDINE GLUCONATE',"'834127', '1437966'",'6b39ce18-d814-7f50-e053-2991aa0abc8c','4e137308-6a21-4bf9-802f-23ff78ee6797',"'52376-021-02', '52376-021-04'",True,"'0352376021043', '0352376021029'",nan,nan,'MOR84MUD8E'
United States,Belleville,681 Main St Ste 27,CGMP Deviations: Out of Specification results for either total microbial count or total organic carbon in the purified water utilized in the manufacturing process.,,533 cases,Lot #36P17 EXP 11/2019,20190813,Distributed Nationwide in the USA,NJ,"Eczema Lotion Hydrocortisone 1% / Anti-Itch Lotion, 3.5 oz (99.2 g) Distributed By: Walgreen Co. 200 Wilmot Rd. Deerfield, IL,60015. NDC 0363-0670-04, UPC 3 11917 19308 3",20190821,Class II,US Pharmaceuticals Inc.,D-1725-2019,Letter,83316,20200625,,20190711,07109-3471,Voluntary: Firm initiated,Terminated,,['Corticosteroid Hormone Receptor Agonists [MoA]'],,,'part348','INTENSIVE HEALING ECZEMA','HYDROCORTISONE','Walgreens','0363-0670','TOPICAL','HYDROCORTISONE','103403','477234df-ba16-4e97-a96e-219034074af3','3d27f041-c554-4139-87b5-709537785f22','0363-0670-04',True,"'0311917193083', '311917193083'","'N0000175576', 'N0000175450'",'Corticosteroid EPC','WI4X0X7BPJ'
United States,El Paso,1550 Northwestern Dr,Non-Sterility: Product is being recalled due to presence of Aspergillus Penicilloides,,"2,800,800 applicators","Lot #: 7194739, Exp. 06/25/2020; 7214841, Exp. Date 07/17/2020; 7213558, Exp. Date 07/16/2020; 7227839, Exp. Date 07/30/2020; 7276589, Exp. Date 09/20/2020; 7198824, Exp. Date 06/29/2020; 7275718, Exp. Date 09/19/2020; 7289776, Exp. Date 09/30/2020; 7306916, Exp. Date 10/12/2020; 8011665, Exp. Date 12/14/2020; 8015801, Exp. Date 12/18/2020; 8031857, Exp. Date 01/31/2021; 8033645, Exp. Date 01/31/2021; 8127657, Exp. Date 04/30/2021; 8137527, 8157141, 8158638, Exp. Date 05/31/2021; 8164530, Exp. Date 06/30/2021; 8220737, Exp. Date 07/31/2021; 8235991, Exp. Date 08/31/2021; 8043978, Exp. Date 01/31/2021; 8306694, Exp. Date 10/31/2021; 8334983, Exp. Date 11/30/2021; 9031893, 9038599, 9042938, Exp. Date 01/31/2022; 9051563, 9053560, 9072856, Exp. Date 02/28/2022; 9086532, Exp. Date 03/31/2022; 9137904, Exp. Date 05/31/2022; 9087985, Exp. Date 03/31/2022; 9191256, 9168975, Exp. Date 06/30/2022; 9218464, 9218595, Exp. Date 07/31/2022; 9228305, 9241932, 9247742, 9249471, Exp. Date 08/31/2022; 9269603, Exp. Date 09/30/2022; 9296395, 9295914, 9311076, Exp. Date 10/31/2022; 9316348, 9324565, 9345911, Exp. Date 11/30/2022; 9305775, Exp. Date 10/31/2022; 0011737, Exp. Date 12/31/2022; 0023790, 0037279, Exp. Date 01/31/2023.",20200819,"Puerto Rico, Guam, United Arab Emirates, Bahrain, Brazil, Democratic Republic of the Congo, Chile, Colombia, United Kingdom of Great Britain and Northern Ireland, Hong Kong, Israel, Kuwait, Oman, Qatar, Saudi Arabia, Singapore,",TX,"ChloraPrep With Tint (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol (IPA)) 3 mL applicators - Hi-Lite Orange  25 applicators in carton, CareFusion El Paso, TX 79912, subsidiary of Becton, Dickinson and Company, NDC 054365-400-11",20200826,Class I,"CareFusion 213, LLC",D-1510-2020,Letter,85903,,,20200623,79912-8000,Voluntary: Firm initiated,Ongoing,,,,,'NDA020832','CHLORAPREP ONE-STEP','CHLORHEXIDINE GLUCONATE AND ISOPROPYL ALCOHOL','CareFusion 213 LLC','54365-400','TOPICAL',"'CHLORHEXIDINE GLUCONATE', 'ISOPROPYL ALCOHOL'","'858726', '998282'",'b2ab2171-0717-e8de-e053-2a95a90a7c7b','cf938014-57fc-4ff2-92a0-6dee1e69c4d8','54365-400-11',True,nan,nan,nan,"'MOR84MUD8E', 'ND2M416302'"
United States,Amityville,369 Bayview Ave,Subpotent; 24 month stability test station,,lot 608917: 7764 bottles; lot 608204: 7476 bottles,"Batch 608917 (exp. 02/2014), and Batch 608204 (exp. 01/2014)",20130614,Nationwide and Puerto Rico,NY,"HydrOXYzine Hydrochloride Oral Solution, USP, 10 mg/5 mL, 16 fl. oz. (473 mL), Rx Only, HI-TECH PHARMACAL CO., INC. AMITYVILLE, NY, NDC 50383-796-16",20130626,Class III,"Hi-Tech Pharmacal Co., Inc.",D-603-2013,Letter,65047,20160513,,20130430,11701-2801,Voluntary: Firm initiated,Terminated,,,,,'ANDA040010','HYDROXYZINE HYDROCHLORIDE','HYDROXYZINE HYDROCHLORIDE',"'Hi-Tech Pharmacal Co., Inc.'",'50383-796','ORAL','HYDROXYZINE HYDROCHLORIDE','995241','6524cff2-ad89-4fc4-adc3-6c2476cdffa4','c848b1ae-2216-48f0-8646-165ecf7ed39b','50383-796-16',True,nan,nan,nan,'76755771U3'
United States,Oklahoma City,727 N Ann Arbor Ave,Failed Dissolution Specifications: manufacturer West-Ward Pharm Corp. recalled these repackaged lots due to failed dissolution results.,,"6,641 bottles","Lot #: a) D17D29, L17C73, F18E73, Exp. 1/31/19; b) H17D70, K17F66, G18F26, Exp. 1/31/19; c) C18G26, F18E36, Exp. 1/31/19; d) F18A85, Exp. 1/31/19; e) K17B44, K17E29, L17D93, Exp. 1/31/19; E17B88, Exp. 5/31/19; H17A52, H17D67, Exp. 7/31/19; f) E17B01, E17E83, Exp. 5/31/19; F17C99, Exp. 6/30/19; G17C08, G17E18, H17B01, H17B66, H17F67, I17A56, Exp. 7/31/19; g) E17E27, Exp. 1/31/19, I17A33, G17D62, Exp. 7/31/19; h) E17B35, E17D90, Exp. 5/31/19, F17C13, Exp. 6/30/19, G17B25, H17C58, Exp. 7/31/19; i) G17D59, Exp. 7/31/19; j) I17A69, G17D58, Exp. 7/31/19; k) G17D56, Exp. 7/31/19.",20180824,Nationwide in the USA.,OK,"Doxycycline Hyclate USP Tablets, 100 mg packaged in a) 2-count bottles, NDC 55289-866-02; b) 6-count bottles, NDC 55289-866-06; c) 7-count bottles, NDC 55289-866-07; d) 10-count bottles, NDC 55289-866-10; e) 14-count bottles, NDC 55289-866-14; f) 20-count bottles, NDC 55289-866-20; g) 28-count bottles, NDC 55289-866-28; h) 30-count bottles, NDC 55289-866-30; i) 120-count bottles, NDC 55289-866-98; j) 300-count bottles, NDC 55289-866-87; k) 400-count bottles, NDC 55289-866-74; Rx only, Packaged By PD-Rx Pharmaceuticals, Oklahoma City, OK  73127.",20180905,Class II,"PD-Rx Pharmaceuticals, Inc.",D-1127-2018,Letter,80791,20200507,,20180807,73127-5822,Voluntary: Firm initiated,Terminated,,,,['0143-2112'],'ANDA065095','DOXYCYCLINE','DOXYCYCLINE HYCLATE',"'PD-Rx Pharmaceuticals, Inc.'",'55289-866','ORAL','DOXYCYCLINE HYCLATE','1650143','aa57e279-69eb-5d74-e053-2995a90a3e17','c96d3986-9d92-4ec4-a319-a50aeb2f4fe7',"'55289-866-02', '55289-866-04', '55289-866-06', '55289-866-07', '55289-866-10', '55289-866-14', '55289-866-20', '55289-866-28', '55289-866-30', '55289-866-60', '55289-866-71', '55289-866-74', '55289-866-85', '55289-866-86', '55289-866-87', '55289-866-90', '55289-866-93', '55289-866-98', '55289-866-01'",nan,nan,nan,nan,'19XTS3T51U'
United States,Belleville,681 Main St Ste 27,GMP Deviations: Out of specification results for Total Aerobic Microbial count in excipient purified water sample,,7020 units,"Lot # a) and b): 44G17, Exp. 05/2019",20190204,Nationwide within the United States,NJ,"Medline Remedy Essential Barrier Skin Protectant Ointment (petrolatum 59%) packaged in a) 2 oz tubes (NDC 53329-302-14) and b) 6 oz tubes (NDC 53329-302-41), Medline Industries Inc., Manufactured for Medline Industries Inc., Mundelien, IL 60060.",20190213,Class II,US Pharmaceuticals Inc.,D-0427-2019,Letter,81784,,,20181207,07109-3471,Voluntary: Firm initiated,Ongoing,,,,,'part347','REMEDY SKIN PROTECTANT','WHITE PETROLATUM','Medline Industries Inc.','53329-302','TOPICAL','PETROLATUM','1543744','9a2ae9dd-e409-6f9b-e053-2995a90a0868','0ec52309-642f-4667-9199-6711190fa1d4',"'53329-302-14', '53329-302-41'",True,'0888277107420',nan,nan,'4T6H12BN9U'
Canada,Toronto,150 Signet Drive,Chemical Contamination: Product were manufactured with active pharmaceutical ingredient (API) batches contaminated with residual materials and solvents.,,,"Lot # 2A001, Exp. 01/15  Lot # 2A002, Exp. 01/15  Lot # 2C003, Exp. 03/15  Lot # 2F005, Exp. 06/15  Lot # 2G006, Exp. 07/15",20140903,Nationwide and Puerto Rico,,"Paroxetine HCL Controlled-Release Tablets 12.5 mg, 30-count bottle, Rx only, Manufactured by GlaxoSmithKline, RTP, NC 27709, Manufactured for Apotex Corp., Weston, FL 33328, NDC 60505-3673-3",20140910,Class II,Apotex Inc.,D-1574-2014,Letter,68967,20140923,,20140324,,Voluntary: Firm initiated,Terminated,,,,,'NDA020936','PAROXETINE HYDROCHLORIDE','PAROXETINE HYDROCHLORIDE','Apotex Corp',"'60505-1316', '60505-1317', '60505-1318', '60505-3673', '60505-3674', '60505-3675'",'ORAL','PAROXETINE HYDROCHLORIDE HEMIHYDRATE',"'1738803', '1738805', '1738807'",'ef3dcfbf-72d2-e3d3-3f1b-1f8492813892','087ff0d3-1761-47ea-a8c1-7c4cb679af97',"'60505-1316-3', '60505-1317-3', '60505-1318-3', '60505-3673-3', '60505-3674-3', '60505-3675-3'",True,"'0360505367436', '0360505367337', '0360505367535'",nan,nan,'X2ELS050D8'
United States,Princeton,107 College Rd E,Failed Dissolution Specifications: out of specification results observed for low dissolution.,,"452,290 cartons","Lot #: KB50363, KB50364, KB50365, KB50366, KB50367, KB50368, KB50369, KB50370, KB50371, Exp 05/17; 01KB50598, KB50541, KB50542, KB50543, KB50544, KB50545, KB50546, KB50547, KB50548, KB50549, KB50550, KB50551, Exp 07/17; 01KB50643, 01KB50644, KB50640, KB50641, KB50642, KB50645, Exp 08/17; KB50715, KB50716, KB50717, KB50718, KB50719, KB50720, KB50757, KB50758, KB50759, KB50760, KB50761, Exp 09/17; KB50872, KB50874, KB50875, KB50876, KB50916, KB50938, KB50943, Exp 11/17; 01KB60062, 01KB60063, 01KB60064, 01KB60065, 01KB60066, 01KB60101, KB60025, KB60026, KB60027, KB60028, KB60029, KB60030, KB60031, KB60032, KB60059, KB60060, KB60061, Exp 12/17; 01KB60100, 01KB60161, Exp 01/18; 01KB60256, 01KB60257, 01KB60258, 01KB60259, 01KB60260, Exp 03/18; 01KB60292, 01KB60293, 01KB60294, 01KB60314, 01KB60321, 01KB60333, 01KB60334, 79KB60295, 79KB60296, 79KB60332, 79KB60335, 79KB60346, Exp 04/18; 01KB60393, 01KB60394, 79KB60390, 79KB60391, 79KB60392, Exp 05/18; 01KB60505, 01KB60506, 01KB60538, 79KB60502, 79KB60503, 79KB60504, 79KB60535, 79KB60536, 79KB60537, 79KB60539, 79KB60542, Exp 07/18; 01KB60589, 79KB60566, 79KB60567, 79KB60568, 79KB60569, 79KB60587, 79KB60588, Exp 08/18",20170602,Nationwide in the USA and Puerto Rico,NJ,"Zenatane (isotretinoin) Capsules, USP, 40 mg, 30-count (3 x 10 Prescription Packs) per carton, Rx Only, Manufactured By: Cipla Limited, Kurkumbh Village, Pune 413802 India, Manufactured For: Dr. Reddy's Laboratories, Bachupally 500 090 India, NDC 55111-137-81",20170614,Class II,"Dr. Reddy's Laboratories, Inc.",D-0886-2017,Letter,77353,20181119,,20170522,08540-6623,Voluntary: Firm initiated,Terminated,['Retinoids [CS]'],,,,'ANDA202099','ZENATANE','ISOTRETINOIN',"""Dr. Reddy's Laboratories Limited""","'55111-113', '55111-135', '55111-136', '55111-137'",'ORAL','ISOTRETINOIN',"'197843', '197844', '197845', '403930', '1373333', '1373335', '1373337', '1605088'",'1f5178c1-0f6f-824d-d0ee-1b973377ccc6','27b3cf26-f22e-5b70-1c24-009933b7c6ee',"'55111-135-79', '55111-135-81', '55111-136-79', '55111-136-81', '55111-137-79', '55111-137-81', '55111-113-79', '55111-113-81', '55111-113-78'",True,nan,"'N0000175607', 'M0018962'",'Retinoid EPC','EH28UP18IF'
United States,Parsippany,20 Waterview Blvd Ste 3,CGMP Deviations: Firm did not adequately investigate customer complaints.,,"A) 149,924 Bottles and B) 35,012 Bottles","A) Lot #: DM10573, Expiry: 4/30/2015; Lot #: DM11531, Expiry: 5/31/2015; Lot #: DM11532, Expiry: 5/31/2015; Lot #: DM11676, Expiry: 6/30/2015; Lot #: DM11677, Expiry: 6/30/2015; Lot #: DM12543, Expiry: 8/31/2015; Lot #: DM13333, Expiry: 11/30/2015; Lot #: DN10272, Expiry: 12/31/2015; Lot #: DN10405, Expiry: 12/31/2015; Lot #: DN10446, Expiry: 1/1/2016.  B) Lot #: DM11122, Expiry: 4/30/2015; Lot #: DM11130, Expiry: 4/30/2015; Lot #: DM11533, Expiry: 5/31/2015; Lot #: DM11674, Expiry: 6/30/2015; Lot #: DM11675, Expiry: 6/30/2015; Lot #: DM12497, Expiry: 8/31/2015; Lot #: DM13336, Expiry: 11/30/2015; Lot #: DN10289, Expiry: 12/31/2015; Lot #: DN10445, Expiry: 1/31/2016; Lot #: DN10816, Expiry: 1/31/2016; Lot #: DN10817, Expiry: 1/31/2016; Lot #: DN10976, Expiry: 2/29/2016.",20150717,U.S. Nationwide including Puerto Rico.,NJ,"Lisinopril Tablets USP, 2.5 mg Tablets, Packaged in A) 100 Count Bottles (NDC: 64679-927-01) and B) 500 Count Bottles (NDC: 64679-927-05), Rx Only. Manufactured by: Wockhardt Limited, Mumbai, India. Distributed by: Wockhardt USA LLC 20 Waterview Blvd. Parsippany, NJ 07054 USA.",20150729,Class II,Wockhardt Usa Inc.,D-1244-2015,Letter,71104,20180509,,20150422,07054-1271,Voluntary: Firm initiated,Terminated,,,,,'ANDA078402','LISINOPRIL','LISINOPRIL','Wockhardt USA LLC.',"'64679-927', '64679-928', '64679-929', '64679-941', '64679-953', '64679-942'",'ORAL','LISINOPRIL',"'197884', '205326', '311353', '311354', '314076', '314077'",'b760b89e-02b4-8439-e053-2a95a90a9de6','e927801e-5de4-44f9-b543-789c093de655',"'64679-927-01', '64679-927-02', '64679-927-05', '64679-927-03', '64679-928-01', '64679-928-05', '64679-928-06', '64679-928-02', '64679-928-03', '64679-929-01', '64679-929-05', '64679-929-06', '64679-929-02', '64679-929-03', '64679-941-01', '64679-941-05', '64679-941-06', '64679-941-02', '64679-941-03', '64679-953-01', '64679-953-05', '64679-953-02', '64679-953-03', '64679-942-01', '64679-942-05', '64679-942-02', '64679-942-03'",True,"'0364679929063', '0364679928059', '0364679953051'",nan,nan,'E7199S1YWR'
United States,Torrance,20695 S Western Ave Ste 240,Lack of Assurance of Sterility: Firm failed to establish an adequate system for monitoring environmental conditions in aseptic processing areas.,,"10,130 bottles","Lot #: XXWC, Exp. August 2018",20170523,"US: Hawaii, Guam, Saipan, SPI",CA,"Optic Splash (naphazoline hydrochloride) Eye Drops, packaged in 0.5 FL OZ (15mL) bottles, Manufactured by SATO Pharmaceuticals CO., LTD. 1-5-27 Motoakasaka Minato-Ku Tokyo, Japan, NDC 49873-501-01.",20170531,Class II,Sato Pharmaceutical Inc.,D-0854-2017,Letter,77161,20180313,,20170216,90501-1834,Voluntary: Firm initiated,Terminated,"['Allergens [CS]', 'Glycerol [CS]']",,"['Increased Histamine Release [PE]', 'Cell-mediated Immunity [PE]', 'Increased IgG Production [PE]']",,'part349','OPTIC SPLASH',"'NAPHAZOLINE HYDROCHLORIDE, GLYCERIN'","'Sato Pharmaceutical, Co., Ltd.'",'49873-501','OPHTHALMIC',"'NAPHAZOLINE HYDROCHLORIDE', 'GLYCERIN'",'1243999','b7c12f8f-0494-7d53-e053-2a95a90ae02e','e3d60c20-7cbc-4728-8e42-441b64608b88','49873-501-01',True,'0349873502014',"'N0000185370', 'N0000175629', 'N0000184306', 'N0000185001', 'M0000728', 'M0009417'",'Non-Standardized Chemical Allergen EPC',"'MZ1131787D', 'PDC6A3C0OX'"
United States,Hazelwood,675 James S McDonnell Blvd,Labeling: incorrect or missing lot number and/or expiration date,,6600 bottles,"Lot #: B201B, Exp April 2015; B346D, Exp August 2015.",20150610,Costa Rica,MO,"MD-Gastroview (Diatrizoate Meglumine and Diatrizoate Sodium Solution USP); 37% Organically Bound Iodine For Gastrointestinal Radiography; Oral or rectal use only; Rx only; 30 mL; Single-Unit Container; ; Mallinckrodt Inc., St. Louis, MO 63042. NDC 0019-4816-04",20150617,Class II,"Mallinckrodt, Inc.",D-1132-2015,Letter,71220,20170710,,20150515,63042-2301,Voluntary: Firm initiated,Terminated,,,,,'ANDA087388','MD GASTROVIEW','DIATRIZOATE MEGLUMINE AND DIATRIZOATE SODIUM','Liebel-Flarsheim Company LLC','0019-4816',"'ORAL', 'RECTAL'","'DIATRIZOATE MEGLUMINE', 'DIATRIZOATE SODIUM'",nan,'79425e73-456a-458a-986d-baf4291584a2','b348b1cf-6250-4ab6-b2bf-3bff86628c53','0019-4816-04',True,'0300194816044',nan,nan,"'3X9MR4N98U', 'V5403H8VG7'"
United States,Eatontown,401 Industrial Way West,Failed Impurities/Degradation Specifications: high out of specification results for Dexamethasone adduct (related compound).,,"1,896 shelf packs","Lot #: 106352, Exp 10/18",20171122,Nationwide in the USA and Puerto Rico,NJ,"Dexamethasone Sodium Phosphate Injection, USP, 20 mg/5 mL (4 mg/mL), 5 mL Vials (NDC 0641-6146-01), packaged in 25 x 5 mL Vials per shelf pack (NDC 0641-6146-25), Rx Only, Manufactured by WEST-WARD, Eatontown, NJ 07724 USA.",20171129,Class III,West-Ward Pharmaceuticals Corp.,D-0094-2018,Letter,78415,20200401,,20171106,07724-2209,Voluntary: Firm initiated,Terminated,,,,,'ANDA087702','DEXAMETHASONE SODIUM PHOSPHATE','DEXAMETHASONE SODIUM PHOSPHATE','Hikma Pharmaceuticals USA Inc.',"'0641-0367', '0641-6145', '0641-6146'","'INTRAMUSCULAR', 'INTRAVENOUS'",'DEXAMETHASONE SODIUM PHOSPHATE',"'309696', '1116927'",'9fd6a1b2-125c-4c74-a686-06c3c5fca7ab','0277cc0a-2fd4-4605-a310-b613be84ee26',"'0641-6145-01', '0641-6145-25', '0641-6146-01', '0641-6146-25', '0641-0367-21', '0641-0367-25'",True,nan,nan,nan,'AI9376Y64P'
